rank,campus,state,IPEDS_UNITID,outreach_priority,market_opportunity,growth_momentum,growth_label,distribution_strength,business_bachelors,business_growth_5y,accounting_bachelors,undergrad_enrollment,greek_chapters,councils,estimated_intro1_annual,why,next_action
51,Utah Valley University,UT,230737,66,90.3,87.8,RAPID_GROWTH,0,999,+35.5%,146,43794,NOT_RUN,,2398,"999 business grads/year (2024) • Business completions +36% over 5Y • Large undergrad population (43,794) • 146 accounting grads/year",Enrich structural data
52,Virginia Poly Inst & St Un,VA,233921,65.5,91.3,82.7,GROWING,0,1723,+23.4%,128,30504,NOT_RUN,,4135,"1,723 business grads/year (2024) • Business completions +23% over 5Y • Large undergrad population (30,504) • 128 accounting grads/year",Enrich structural data
53,Appalachian State Univ,NC,197869,65.5,87.9,91.5,RAPID_GROWTH,0,1065,+35.3%,99,19405,NOT_RUN,,2556,"1,065 business grads/year (2024) • Business completions +35% over 5Y • Large undergrad population (19,405) • 99 accounting grads/year",Enrich structural data
54,University of California-Irvine,CA,110653,65,69.2,54.4,STABLE,PENDING,965,-0.4%,0,29503,NOT_RUN,,2316,"965 business grads/year (2024) • Business completions 0% over 5Y • Large undergrad population (29,503)",Enrich structural data
55,Georgia State University,GA,139940,64.5,81.8,50.4,STABLE,41,1008,-8.5%,145,27588,21,IFC+NPHC+PANHELLENIC,2419,"1,008 business grads/year (2024) • Business completions -8% over 5Y • 21 social Greek chapters • Large undergrad population (27,588) • 145 accounting grads/year",Greek council enrichment
56,University of North Carolina-Wilmington,NC,199218,63.9,69.3,50.4,STABLE,PENDING,665,-11.6%,0,14494,NOT_RUN,,1596,"665 business grads/year (2024) • Business completions -12% over 5Y • Large undergrad population (14,494)",Enrich structural data
57,Southern Methodist University,TX,228246,63.9,73.9,62.1,GROWING,45.5,537,+3.7%,56,7115,26,IFC+MGC+NPHC+PANHELLENIC,1289,537 business grads/year (2024) • Business completions +4% over 5Y • 26 social Greek chapters • 56 accounting grads/year • Business-heavy (28% of bachelor's),Greek council enrichment
58,University of Louisville,KY,157289,63.7,71.3,58.6,STABLE,52.5,435,-13.2%,77,16194,32,IFC+NPHC+PANHELLENIC,1044,"435 business grads/year (2024) • Business completions -13% over 5Y • 32 social Greek chapters • Large undergrad population (16,194) • 77 accounting grads/year",Greek council enrichment
59,University of Colorado Boulder,CO,126614,63.6,72.1,79.2,GROWING,34,1147,+15.5%,0,32105,16,IFC+PANHELLENIC,2753,"1,147 business grads/year (2024) • Business completions +16% over 5Y • 16 social Greek chapters • Large undergrad population (32,105)",Research + intro outreach
60,Florida Gulf Coast University,FL,433660,63.5,75.7,43.4,STABLE,55,662,-15.4%,51,14227,18,,1589,"662 business grads/year (2024) • Business completions -15% over 5Y • 18 social Greek chapters • Council contacts verified • Large undergrad population (14,227)",Council outreach
