rank,campus,state,IPEDS_UNITID,outreach_priority,market_opportunity,growth_momentum,growth_label,distribution_strength,business_bachelors,business_growth_5y,accounting_bachelors,undergrad_enrollment,greek_chapters,councils,estimated_intro1_annual,why,next_action
11,Clemson University,SC,217882,89.5,90.1,95.7,RAPID_GROWTH,83.5,1447,+54.3%,163,22875,48,IFC+MGC+NPHC+PANHELLENIC,3473,"1,447 business grads/year (2024) • Business completions +54% over 5Y • 48 social Greek chapters • Large undergrad population (22,875) • 163 accounting grads/year",Greek council enrichment
12,Utah Valley University,UT,230737,89.3,90,87.4,RAPID_GROWTH,PENDING,999,+35.5%,146,43794,NOT_RUN,,2398,"999 business grads/year (2024) • Business completions +36% over 5Y • Large undergrad population (43,794) • 146 accounting grads/year",Enrich structural data
13,"Calif State Univ, Northridge",CA,110608,79.4,89.2,54.8,STABLE,PENDING,1574,-5.8%,229,32429,NOT_RUN,,3778,"1,574 business grads/year (2024) • Business completions -6% over 5Y • Large undergrad population (32,429) • 229 accounting grads/year",Enrich structural data
14,University of Houston - Downtown,TX,225432,88,89.1,85.3,RAPID_GROWTH,PENDING,1057,+20.0%,240,12880,NOT_RUN,,2537,"1,057 business grads/year (2024) • Business completions +20% over 5Y • Large undergrad population (12,880) • 240 accounting grads/year • Business-heavy (36% of bachelor's)",Enrich structural data
15,Indiana University Bloomington,IN,151351,91.9,89,90.6,RAPID_GROWTH,98.7,2444,+20.4%,0,36833,68,IFC+MGC+NPHC+PANHELLENIC,5866,"2,444 business grads/year (2024) • Business completions +20% over 5Y • 68 social Greek chapters • Large undergrad population (36,833) • Business-heavy (33% of bachelor's)",Greek council enrichment
16,University of Kentucky,KY,157085,89.5,88.9,86.1,RAPID_GROWTH,93.3,1109,+19.8%,152,23930,57,IFC+MGC+NPHC+PANHELLENIC,2662,"1,109 business grads/year (2024) • Business completions +20% over 5Y • 57 social Greek chapters • Large undergrad population (23,930) • 152 accounting grads/year",Greek council enrichment
17,Appalachian State Univ,NC,197869,88.7,87.6,91.3,RAPID_GROWTH,PENDING,1065,+35.3%,99,19405,NOT_RUN,,2556,"1,065 business grads/year (2024) • Business completions +35% over 5Y • Large undergrad population (19,405) • 99 accounting grads/year",Enrich structural data
18,Penn State University Univ,PA,214777,82.4,87.6,69.5,GROWING,PENDING,1790,+9.4%,219,42223,NOT_RUN,,4296,"1,790 business grads/year (2024) • Business completions +9% over 5Y • Large undergrad population (42,223) • 219 accounting grads/year",Enrich structural data
19,University of North Texas,TX,227216,80.9,87.6,71.1,GROWING,75.4,1495,+5.3%,222,33858,40,IFC+MGC+NPHC+PANHELLENIC,3588,"1,495 business grads/year (2024) • Business completions +5% over 5Y • 40 social Greek chapters • Large undergrad population (33,858) • 222 accounting grads/year",Greek council enrichment
20,DePaul University,IL,144740,78.7,87.6,56.6,STABLE,PENDING,935,-8.0%,173,14374,NOT_RUN,,2244,"935 business grads/year (2024) • Business completions -8% over 5Y • Large undergrad population (14,374) • 173 accounting grads/year • Business-heavy (31% of bachelor's)",Enrich structural data
21,Univ of Central Florida,FL,132903,75,87.1,44.9,STABLE,PENDING,2290,-14.5%,196,59470,NOT_RUN,,5496,"2,290 business grads/year (2024) • Business completions -14% over 5Y • Large undergrad population (59,470) • 196 accounting grads/year",Enrich structural data
22,Michigan State University East,MI,171100,77.2,86.8,53.2,STABLE,PENDING,1469,-7.7%,153,40483,NOT_RUN,,3526,"1,469 business grads/year (2024) • Business completions -8% over 5Y • Large undergrad population (40,483) • 153 accounting grads/year",Enrich structural data
23,Temple University,PA,216339,67,86.8,17.4,DECLINING,PENDING,1143,-32.7%,121,21720,NOT_RUN,,2743,"1,143 business grads/year (2024) • Business completions -33% over 5Y • Large undergrad population (21,720) • 121 accounting grads/year",Enrich structural data
