chapter_id,campus,chapter,council,legal_entity_status,legal_entity_count,local_entity_count,local_entity_found,house_corporation_found,foundation_found,national_parent_found,alumni_corp_found,latest_990_year,officer_count_latest_filing,director_count_latest_filing,latest_reported_president,latest_reported_treasurer,latest_revenue,latest_expenses,latest_assets,latest_liabilities,alumni_governance_strength,data_confidence
8c79ce73-5f9a-4f8d-9f54-e4941ce051c7,University of Georgia,Alpha Gamma Rho,IFC,ENTITY_MATCHED,4,3,true,false,true,true,false,2024,0,0,,,1786541,2798515,4372490,1522014,MODERATE,HIGH
8ce1b8b6-7aa7-492e-ab00-81e29a45f2df,University of Georgia,Beta Theta Pi,IFC,ENTITY_MATCHED,3,2,true,true,false,true,false,2023,0,0,,,6378113,7611188,6605669,5491333,MODERATE,HIGH
968d8697-5bc9-431c-ba23-e691095e3d0c,University of Georgia,Sigma Phi Epsilon,IFC,ENTITY_MATCHED,2,1,false,false,false,true,false,2023,0,0,,,523223,494502,189996,0,LIGHT,HIGH
9cc5cd47-0bcf-41b8-b87e-2203bbacd143,University of Georgia,Lambda Upsilon Lambda,MGC,NO_ENTITY_FOUND,0,0,false,false,false,false,false,,0,0,,,,,,,UNKNOWN,NONE
9fcec30d-59f8-4609-8d03-cd34e02f3567,University of Georgia,Theta Chi,IFC,ENTITY_MATCHED,3,2,true,false,false,true,true,2023,8,0,SANDERS HACKETT,MATTHEW SINGER,411293,324977,160573,0,LIGHT,HIGH
00abf3c1-453a-4e19-a3c0-760276d51dbf,University of Kentucky,Iota Phi Theta,NPHC,NO_ENTITY_FOUND,0,0,false,false,false,false,false,,0,0,,,,,,,UNKNOWN,NONE
01f34594-62b9-4b17-ab05-4a873f787081,University of Georgia,Kappa Alpha Order,IFC,ENTITY_MATCHED,2,1,false,false,false,true,false,2023,9,0,,,771189,709678,174056,3500,LIGHT,HIGH
0e21189a-81dc-4486-8755-cd9365058b41,University of Georgia,Beta Upsilon Chi,IFC,NO_ENTITY_FOUND,0,0,false,false,false,false,false,,0,0,,,,,,,UNKNOWN,NONE
1480164a-2597-4f83-a1ca-0dadada71861,University of Georgia,Alpha Epsilon Pi,IFC,ENTITY_MATCHED,2,1,true,false,false,true,false,2023,0,0,,,524263,511621,447561,117076,LIGHT,HIGH
1632da80-5993-41f7-8f2c-ad2dfa904b23,University of Kentucky,Lambda Theta Phi,MGC,NO_ENTITY_FOUND,0,0,false,false,false,false,false,,0,0,,,,,,,UNKNOWN,NONE
194ce5c8-ea68-4c14-894c-2dd99c4079f7,University of Georgia,Sigma Alpha Epsilon,IFC,ENTITY_MATCHED,3,2,true,false,false,true,false,2023,0,0,,,741029,719480,95915,0,LIGHT,HIGH
