ein,legal_name,entity_type,tax_year,form_type,rich_filing_available,total_revenue,total_expenses,total_assets,total_liabilities,net_assets,source
626042374,DELTA SIGMA HOUSE CORPORATION OF DELTA DELTA DELTA,HOUSE_CORPORATION,2018,990,true,245348,93059,522158,0,522158,PROPUBLICA_API
741130614,SIGMA PHI EPSILON FRATERNITY INC,LOCAL_CHAPTER_ENTITY,2018,990,true,1334145,1320323,159405,0,159405,PROPUBLICA_API
626047671,KAPPA DELTA SORORITY,LOCAL_CHAPTER_ENTITY,2018,990,true,274109,283166,170482,52320,118162,PROPUBLICA_API
621386377,PI CHAPTER CHI OMEGA FRATERNITY HOUSE CORP,HOUSE_CORPORATION,2018,990,true,419382,376493,385914,4546,381368,PROPUBLICA_API
626047975,CHI OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990EZ,true,142402,128337,52934,0,52934,PROPUBLICA_API
740898333,SIGMA ALPHA MU FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,0,54322,6556,40167,-33611,PROPUBLICA_API
626045032,ALPHA DELTA PI HOUSE CORP ALPHA KAPPA,HOUSE_CORPORATION,2018,990,true,1004638,709454,1168620,65,1168555,PROPUBLICA_API
741130603,ALPHA EPSILON PI FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990EZ,true,169742,168688,19042,0,19042,PROPUBLICA_API
742657125,SIGMA GAMMA RHO SORORITY INC MU UPSILON CHAPTER,LOCAL_CHAPTER_ENTITY,2018,990EZ,true,0,0,1,0,1,PROPUBLICA_API
746084912,SIGMA GAMMA RHO SORORITY INC,LOCAL_CHAPTER_ENTITY,2018,990EZ,true,0,0,1,0,1,PROPUBLICA_API
742831564,ZETA BETA TAU FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,1594244,1406683,328142,53678,274464,PROPUBLICA_API
746047117,BUILDING CORPORATION OF DELTA CHAPTER OF ALPHA DELTA PI,HOUSE_CORPORATION,2018,990,true,933438,803812,1058257,384745,673512,PROPUBLICA_API
743004321,TEXAS DELTA CHI HOUSING CORP,HOUSE_CORPORATION,2018,990,true,-714,5428,382229,0,382229,PROPUBLICA_API
741130608,PHI GAMMA DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,2119112,2180844,821055,405197,415858,PROPUBLICA_API
741130611,SIGMA ALPHA EPSILON FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,1379820,1313445,876538,262498,614040,PROPUBLICA_API
741120034,PI KAPPA ALPHA FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,780023,821075,169216,204263,-35047,PROPUBLICA_API
740555581,CHI OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,1182782,1078160,2287118,102148,2184970,PROPUBLICA_API
741493205,KAPPA CHAPTER OF ZETA TAU ALPHA HOUSE CORPORATION,HOUSE_CORPORATION,2018,990,true,191841,81989,2543968,74544,2469424,PROPUBLICA_API
746060984,TEXAS ALPHA HOUSE CORPORATION OF PI BETA PHI,HOUSE_CORPORATION,2018,990,true,906758,677924,3553100,40251,3512849,PROPUBLICA_API
741116912,SIGMA CHI FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,1080915,1117982,85283,16500,68783,PROPUBLICA_API
740481786,ALPHA EPSILON PHI SORORITY OMEGA CHAPTER,LOCAL_CHAPTER_ENTITY,2018,990,true,293752,294233,330029,103391,226638,PROPUBLICA_API
510207538,SIGMA CHI FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,740072,737717,33771,0,33771,PROPUBLICA_API
812525354,ALPHA SIGMA PHI FRATERNITY INC,LOCAL_CHAPTER_ENTITY,2018,990EZ,true,86912,79974,17356,0,17356,PROPUBLICA_API
