priority,campus_id,campus,state,reason,detail,status
3,02a82fbc-c702-4940-aa81-aedf19bf0140,University of Iowa Iowa,IA,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,034f7eaf-fd20-4890-a886-1aad917e13f9,Durham Technical Community College,NC,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,03ba330e-a0c8-44c0-afdc-e8c247c5fdea,Uof California-Berkeley,CA,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,0413aa57-040e-42c2-a0e4-d93c16cbd1f2,Calif St U-Dominguez Hills,CA,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,0417ce15-a77e-4ea4-86fd-a631c0d6c359,Seneca Polytechnic,ON,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,04786a32-7351-43a1-b6d2-a479ba0f4d10,Western Carolina University,NC,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,04a6f5fc-5913-4fc1-84f7-039fd4149b4d,Casper College,WY,ambiguous_course_identity_no_code,discover_course_code,NO_RESULT
3,04efb67d-2b5d-41a7-8efe-c169a5b76671,New York Institute of Tech Old,NY,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,0632e0db-c8a2-4438-b1a4-aac2bb91f8f0,Prague University of Economics and Business,Prague,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,063e3e9e-7bec-4e35-8cd6-2f3d14e56f40,Piedmont Virginia Community College,VA,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,06bf71a9-dd00-4ec2-85b2-dc4ec507a5ec,Valparaiso University,IN,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,07abe6b1-0505-4677-b232-ce2466ce8025,Illinois Wesleyan University,,ambiguous_course_identity_no_code,await_course_code_backfill,WAITING_FOR_COURSE
3,07d162bf-ff97-4faf-a6dd-a86f60e658a4,University of Klagenfurt,AT,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,083af01c-5504-4361-8165-2c8e07f52f1b,Drury University,MO,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,0854cf69-76e9-41a4-bc7e-9e2a902b0ff6,Weatherford College,TX,ambiguous_course_identity_no_code,discover_course_code,NO_RESULT
3,09eb4c4d-1391-4809-be0e-11ac02c3cf7e,King's College,PA,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,0a2467b0-4236-4560-8258-9c06494ec754,Foothill College,CA,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,0a3b9320-6bf6-4bb8-b6bf-ae15265f984f,South Mountain Community College,AZ,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,0a3cb687-366b-4785-a617-593622020200,Memorial University of Newfoundland,NL,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,0a691d0a-34aa-4226-8511-bd241c559a29,Cal Poly Humboldt,CA,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,0a812f83-8129-4bab-ad51-7366d1e2a183,SUNYat Plattsburgh,NY,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,0af70b45-ea23-4541-bcf0-b498b7c7dea2,Metro Community College Ft Omaha E,NE,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,0b199f76-27de-48df-8995-829dd9b4269d,Southeastern Louisiana Univ,LA,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,0b3dfa6a-84b2-439c-baf7-8b176d6baf4b,Northern State University,SD,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,0b7a9a22-43aa-45f5-85f7-1775981a18b5,Youngstown State University,OH,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,0be532c5-92f3-4118-bfeb-598814125b3a,Widener University,PA,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,0c1f92c6-28ac-4337-a9ff-cc37dde1e15c,University of Hawaii at Hilo,HI,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,0c4bd334-027c-4924-97d4-779d00ff3a8f,Ursinus College,,ambiguous_course_identity_no_code,await_course_code_backfill,WAITING_FOR_COURSE
3,0cdd07d2-dead-4536-8851-da2eaf3e4627,Victoria College,TX,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,0d099c0a-c67d-4f8f-b964-f507569e6520,Humber Polytechnic,ON,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,0f40f287-100d-4ec3-a951-1e3b40486a8f,University of St. Thomas-MN St.,MN,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,0f682377-179e-47c9-a36a-5ee3bc9efc14,University of Cincinnati-Main Campus,,ambiguous_course_identity_no_code,discover_course_code,NO_RESULT
3,0fa0e5bb-76cd-4299-a9af-f8802eaf317c,Spelman College,,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,0fad3da2-b1f2-4e2b-9637-7b5d0737ec4d,Harris-Stowe State Univ St.,MO,ambiguous_course_identity_no_code,discover_course_code,NO_RESULT
3,0fcc221b-28d0-4121-8ebb-dcd839d752b6,Tama University,N/A,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,10760ba6-adb3-4111-9efb-6347b0e122ac,Bellarmine University,KY,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,1084bf96-1261-41f7-9187-1a44b33ee412,University of Montevallo,AL,ambiguous_course_identity_no_code,discover_course_code,NO_RESULT
3,10d95c68-bd9f-4167-bedf-2031cd6f0697,Illinois Institute of Tech,IL,ambiguous_course_identity_no_code,discover_course_code,NO_RESULT
3,10fd53d0-9208-49ca-a413-bfe2c75b5968,University of North Dakota Grand,ND,ambiguous_course_identity_no_code,discover_course_code,COMPLETE
3,1147ac50-18c0-4bdf-8bf4-413b49791ab5,University of Kent,EX,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,1190fd15-76d0-4fdd-bf3a-1e0e293ad7c7,Univ of Michigan-Dearborn,MI,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,119df83b-8e7f-454d-936c-f1f39dcd407c,U.S. Coast Guard Academy New,CT,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,12545761-cf00-4814-98a9-1233d9fcb40b,Uof Arkansas at Little Rock Little,AR,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,12bbe4a6-0781-41f6-a0f4-590a8ea973c5,Lincoln University - California,CA,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,12f2df5b-431f-4e9a-9572-5902e68182d2,Hamilton College,,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,135d7070-b769-4c6a-9e0e-88bc5baef315,Athens Technical College,GA,ambiguous_course_identity_no_code,discover_course_code,FAILED
3,13762cae-715d-4650-9dcc-282fb44d0522,Bishop's University,QC,ambiguous_course_identity_no_code,discover_course_code,NO_RESULT
3,14304f21-086e-4e59-9c54-52684fa8251e,Westminster College - Pennsylvania,PA,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,144e6ab5-3085-49c2-9bd5-4d134a21834b,Indiana University Kokomo,IN,ambiguous_course_identity_no_code,discover_course_code,NO_RESULT
3,147c54d6-9172-4f20-9912-fbd9c2a4d81e,Dalton State College,GA,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,1554bb6b-6fa9-44ca-a0b4-953feab9b3b3,Barnard College,,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,15f91e0b-0e8c-48ab-a405-beccd03620e2,"City St George's, University of London",England,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,167bb454-f11c-446d-aa3e-edf7b33f9978,La Salle University,PA,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,171479ac-0d62-494b-b7ee-cfecb8ebc587,Florida Southern College,FL,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,17ac68da-ab12-4467-b47d-4f6f348ad82e,Valdosta State University,GA,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,18900a1d-e1e7-4324-ad9b-51d3a6755d11,University of Alberta,AB,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,18b8b3d0-71ec-4f35-9eb5-bff566b77e0f,Cecil College,MD,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,18e02f64-5108-480b-9d97-bb448a55b8d0,Stetson University,FL,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,198f0b0d-a269-494d-8d24-7b682822be61,Uof Arkansas at Pine Bluff Pine,AR,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,1994f812-8ee7-44c5-aebb-d0af3b5561a5,National Chengchi University,TW,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,19cec263-576b-4358-a420-390ac8264399,University of South Alabama,AL,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,1a33f054-89c8-4d91-9882-42ccf611d597,Ohio University,OH,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,1a36c076-bb65-4fab-87d0-389c52320681,Texas State Technical College,TX,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,1a74e225-71ce-4468-bd59-de5872700f40,Penn State Wilkes-Barre,PA,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,1c22f607-dc5c-494b-b75a-331432771695,San Jose State University San,CA,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,1cd28141-8461-4fe6-864d-c424dd1340fa,Owens Community College,OH,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,1df94a58-25ba-426e-b8b9-91e808fe9947,Northland Community and Technical College Thie River,MN,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,1e64d18f-c6ed-4a0f-9314-1f56961a707c,Trinity University,,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,1ea5aedb-ca83-4b0b-8a67-0922286988ba,Oxnard College,CA,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,1ecc155c-f2c2-4ef3-8450-04407ea1d4b5,Southern State Community College,OH,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,1eee187e-f639-4f30-ae46-39db81030a1e,University of Maine,ME,ambiguous_course_identity_no_code,discover_course_code,COMPLETE
3,1f5cee7a-6b22-413a-bcc7-9c9235f26a75,University of Miami Coral,FL,ambiguous_course_identity_no_code,discover_course_code,NEEDS_REVIEW
3,1f69dafc-34ac-4a01-bb90-b66e9185005b,Virginia Poly Inst & St Un,VA,ambiguous_course_identity_no_code,resolve_campus_domain,NO_RESULT
3,1fe25f7c-0601-4e2d-be12-d6a2e4dac428,Germanna Community College,VA,ambiguous_course_identity_no_code,discover_course_code,NO_RESULT
